return_id,order_id,customer_id,subproduct_id,return_date,reason,status,refund_amount,processed_by,resolution_date
298,527,1536,25,2026-03-26,Customer tidak jadi beli,Exchange Sent,300000,75,2026-04-05
299,7593,1077,37,2026-02-06,Warna tidak sesuai deskripsi,Approved,200000,8,2026-02-09
300,8260,552,268,2023-09-28,Customer tidak jadi beli,Exchange Sent,100000,20,2023-10-10
301,9854,2206,472,2025-02-14,Salah order,Exchange Sent,500000,64,2025-02-20
302,4731,31,381,2023-04-30,Customer tidak jadi beli,Refund Processed,100000,59,2023-05-01
303,9505,1011,512,2025-03-12,Keterlambatan pengiriman,Approved,250000,75,2025-03-26
304,229,2016,312,2025-06-26,Produk tidak berfungsi,Refund Processed,500000,60,2025-07-09
305,5254,2267,326,2023-06-11,Salah order,Refund Processed,200000,57,2023-06-14
306,6333,411,537,2023-11-18,Tidak sesuai ekspektasi,Approved,500000,41,2023-12-02
307,3729,1946,354,2023-07-07,Customer tidak jadi beli,Approved,50000,57,2023-07-14
308,1027,1797,73,2026-06-16,Produk rusak / cacat,Approved,250000,71,2026-06-24
309,4152,1566,26,2025-06-07,Diterima dalam kondisi tidak baik,Exchange Sent,500000,17,2025-06-09
310,4671,2445,399,2023-12-18,Customer tidak jadi beli,Approved,400000,63,2023-12-25
311,2753,400,55,2026-02-11,Diterima dalam kondisi tidak baik,Refund Processed,200000,69,2026-02-15
312,6817,1344,452,2024-04-20,Keterlambatan pengiriman,Approved,1000000,37,2024-05-01
313,5860,1535,458,2023-02-26,Produk rusak / cacat,Approved,75000,65,2023-03-11
314,6963,1733,48,2025-03-16,Salah order,Refund Processed,150000,8,2025-03-23
315,712,1357,427,2026-04-10,Tidak sesuai ekspektasi,Approved,750000,37,2026-04-13
316,9947,91,133,2026-03-08,Ukuran tidak sesuai,Refund Processed,200000,17,2026-03-09
317,213,513,284,2024-08-14,Ukuran tidak sesuai,Approved,150000,50,2024-08-21
318,8140,335,156,2024-06-20,Diterima dalam kondisi tidak baik,Rejected,200000,75,2024-07-01
319,2700,2454,428,2023-02-18,Tidak sesuai ekspektasi,Refund Processed,750000,10,2023-02-19
320,3248,441,247,2023-07-27,Salah order,Rejected,1000000,63,2023-08-08
321,764,1012,141,2026-04-09,Ukuran tidak sesuai,Refund Processed,200000,23,2026-04-21
322,4415,1445,95,2024-02-09,Ukuran tidak sesuai,Refund Processed,75000,18,2024-02-21
323,8598,2182,169,2023-12-20,Produk rusak / cacat,Rejected,250000,50,2023-12-31
324,2719,1695,143,2026-06-05,Ukuran tidak sesuai,Rejected,150000,58,2026-06-17
325,8704,1506,102,2025-06-15,Customer tidak jadi beli,Pending Review,400000,27,2025-06-19
326,3180,1570,448,2023-05-02,Keterlambatan pengiriman,Approved,150000,32,2023-05-09
327,4961,1738,255,2025-04-30,Pesanan salah kirim,Approved,100000,2,2025-05-02
328,8190,265,27,2025-01-23,Produk tidak berfungsi,Exchange Sent,300000,30,2025-01-31
329,7658,2288,209,2025-06-11,Diterima dalam kondisi tidak baik,Rejected,500000,77,2025-06-13
330,4628,1097,99,2025-09-30,Produk tidak berfungsi,Refund Processed,50000,34,2025-10-10
331,8648,2453,17,2023-11-28,Produk tidak berfungsi,Approved,200000,68,2023-11-29
332,1510,1754,546,2025-02-22,Produk tidak berfungsi,Refund Processed,250000,68,2025-03-08
333,1692,1673,347,2025-07-16,Produk rusak / cacat,Refund Processed,500000,28,2025-07-18
334,7254,1007,145,2026-04-13,Ukuran tidak sesuai,Pending Review,75000,49,2026-04-23
335,8929,78,291,2025-06-23,Tidak sesuai ekspektasi,Approved,1000000,75,2025-06-25
336,9133,823,190,2025-04-16,Keterlambatan pengiriman,Rejected,250000,58,2025-04-25
337,4577,1931,401,2025-12-05,Produk tidak berfungsi,Rejected,400000,55,2025-12-10
338,3200,1490,296,2024-11-23,Pesanan salah kirim,Approved,500000,3,2024-11-26
339,8532,943,380,2025-10-11,Tidak sesuai ekspektasi,Pending Review,1000000,55,2025-10-22
340,1111,390,449,2024-11-23,Diterima dalam kondisi tidak baik,Approved,1000000,40,2024-12-06
341,6429,1187,507,2023-04-13,Warna tidak sesuai deskripsi,Exchange Sent,150000,25,2023-04-24
342,6659,1286,484,2024-12-25,Produk tidak berfungsi,Refund Processed,250000,74,2024-12-27
343,7350,158,106,2024-04-10,Produk rusak / cacat,Refund Processed,150000,38,2024-04-18
344,1818,60,247,2023-07-09,Produk tidak berfungsi,Pending Review,1500000,17,2023-07-16
345,986,189,75,2023-06-10,Diterima dalam kondisi tidak baik,Approved,50000,37,2023-06-20
346,9340,1264,340,2024-11-28,Diterima dalam kondisi tidak baik,Refund Processed,250000,64,2024-12-10
347,7089,1182,491,2024-01-13,Ukuran tidak sesuai,Refund Processed,1500000,4,2024-01-24
348,7144,2292,318,2024-07-01,Produk rusak / cacat,Approved,400000,1,2024-07-06
349,8476,1561,122,2026-03-10,Keterlambatan pengiriman,Approved,500000,29,2026-03-23
350,5841,2153,297,2026-06-11,Ukuran tidak sesuai,Approved,400000,73,2026-06-21
351,2521,1632,486,2023-04-09,Tidak sesuai ekspektasi,Rejected,300000,76,2023-04-17
352,8081,2491,16,2025-08-04,Salah order,Approved,500000,4,2025-08-16
353,2205,277,226,2026-08-18,Keterlambatan pengiriman,Exchange Sent,500000,33,2026-08-25
354,3187,669,247,2023-05-31,Salah order,Approved,400000,60,2023-06-05
355,3468,170,218,2025-04-05,Produk tidak berfungsi,Refund Processed,500000,74,2025-04-15
356,3954,1656,182,2026-07-21,Tidak sesuai ekspektasi,Approved,150000,69,2026-07-31
357,616,1345,57,2025-07-15,Salah order,Refund Processed,100000,7,2025-07-16
358,4006,987,545,2023-10-14,Produk tidak berfungsi,Approved,400000,35,2023-10-28
359,3411,1326,52,2024-01-28,Ukuran tidak sesuai,Approved,100000,23,2024-02-06
360,6614,1673,348,2025-06-17,Tidak sesuai ekspektasi,Refund Processed,1500000,19,2025-06-26
361,424,236,380,2023-02-20,Produk tidak berfungsi,Approved,100000,65,2023-02-28
362,180,1276,80,2025-07-01,Warna tidak sesuai deskripsi,Approved,300000,21,2025-07-02
363,6754,1606,75,2025-12-02,Pesanan salah kirim,Approved,75000,58,2025-12-03
364,5275,1303,372,2024-03-28,Diterima dalam kondisi tidak baik,Approved,250000,24,2024-04-01
365,8961,966,467,2024-07-20,Produk tidak berfungsi,Pending Review,100000,39,2024-07-24
366,491,2289,181,2026-06-07,Tidak sesuai ekspektasi,Approved,1500000,39,2026-06-20
367,686,1397,178,2025-01-10,Ukuran tidak sesuai,Refund Processed,300000,31,2025-01-16
368,4040,2192,298,2025-11-21,Tidak sesuai ekspektasi,Pending Review,75000,13,2025-11-28
369,7138,939,62,2024-11-07,Tidak sesuai ekspektasi,Refund Processed,50000,16,2024-11-20
370,4775,2032,526,2024-05-11,Pesanan salah kirim,Exchange Sent,400000,35,2024-05-19
371,3047,14,178,2024-07-02,Warna tidak sesuai deskripsi,Refund Processed,75000,44,2024-07-16
372,4984,1409,551,2024-12-04,Produk rusak / cacat,Approved,50000,34,2024-12-11
373,1847,820,4,2023-03-17,Pesanan salah kirim,Refund Processed,200000,16,2023-03-20
374,4630,1042,366,2025-04-06,Salah order,Refund Processed,150000,28,2025-04-12
375,5322,442,3,2026-03-09,Produk rusak / cacat,Approved,300000,48,2026-03-12
376,3474,782,361,2024-10-08,Warna tidak sesuai deskripsi,Refund Processed,500000,7,2024-10-15
377,8446,1113,502,2025-10-06,Customer tidak jadi beli,Approved,75000,29,2025-10-19
378,426,2428,462,2023-07-05,Ukuran tidak sesuai,Exchange Sent,75000,35,2023-07-11
379,5924,155,503,2024-07-17,Warna tidak sesuai deskripsi,Approved,75000,8,2024-07-27
380,2505,1854,323,2025-04-17,Salah order,Approved,75000,48,2025-04-23
381,7634,25,223,2023-11-27,Diterima dalam kondisi tidak baik,Approved,400000,34,2023-12-02
382,3686,1695,78,2024-05-29,Produk tidak berfungsi,Exchange Sent,50000,4,2024-06-02
383,6788,362,138,2025-11-17,Warna tidak sesuai deskripsi,Refund Processed,250000,4,2025-11-29
384,3639,62,72,2026-03-21,Tidak sesuai ekspektasi,Pending Review,1500000,28,2026-03-28
385,8365,508,285,2024-02-01,Produk rusak / cacat,Approved,500000,15,2024-02-14
386,7121,1020,535,2023-03-14,Produk rusak / cacat,Pending Review,100000,9,2023-03-28
387,6401,1181,290,2025-04-20,Customer tidak jadi beli,Rejected,150000,44,2025-04-23
388,9183,1302,190,2025-03-01,Pesanan salah kirim,Approved,500000,17,2025-03-09
389,3096,277,342,2025-01-31,Tidak sesuai ekspektasi,Rejected,50000,4,2025-02-07
390,6392,892,68,2024-02-13,Produk tidak berfungsi,Refund Processed,300000,48,2024-02-24
391,1263,1525,159,2026-04-05,Tidak sesuai ekspektasi,Exchange Sent,250000,23,2026-04-18
392,8142,997,308,2026-07-30,Keterlambatan pengiriman,Approved,1000000,37,2026-08-02
393,698,1610,175,2024-12-31,Ukuran tidak sesuai,Refund Processed,50000,36,2025-01-09
394,4699,2206,279,2024-01-26,Diterima dalam kondisi tidak baik,Exchange Sent,1000000,1,2024-01-30
395,2282,573,60,2025-09-23,Produk tidak berfungsi,Refund Processed,400000,41,2025-09-30
396,7793,1607,193,2026-04-30,Ukuran tidak sesuai,Approved,300000,20,2026-05-09
397,1751,440,529,2026-08-03,Customer tidak jadi beli,Refund Processed,50000,28,2026-08-15
398,2065,1469,332,2024-09-13,Produk tidak berfungsi,Approved,250000,49,2024-09-21
399,1999,2011,238,2025-07-26,Customer tidak jadi beli,Rejected,400000,49,2025-08-09
400,7539,2425,46,2023-09-29,Produk rusak / cacat,Approved,50000,46,2023-10-09
401,5782,1916,552,2024-05-04,Warna tidak sesuai deskripsi,Refund Processed,1000000,63,2024-05-18
402,9041,827,170,2026-06-27,Diterima dalam kondisi tidak baik,Refund Processed,250000,22,2026-07-08
403,286,792,467,2024-07-01,Customer tidak jadi beli,Approved,300000,19,2024-07-14
404,7292,1029,233,2024-09-05,Customer tidak jadi beli,Refund Processed,250000,20,2024-09-08
405,8534,1383,371,2026-04-29,Customer tidak jadi beli,Refund Processed,500000,32,2026-05-06
406,5784,1067,535,2026-03-19,Customer tidak jadi beli,Approved,200000,73,2026-03-23
407,5944,13,314,2025-12-23,Diterima dalam kondisi tidak baik,Refund Processed,1000000,5,2025-12-28
408,3496,155,175,2026-01-24,Salah order,Pending Review,1000000,12,2026-02-04
409,6400,2412,312,2024-01-24,Produk rusak / cacat,Approved,300000,61,2024-02-04
410,774,2200,444,2023-07-13,Warna tidak sesuai deskripsi,Exchange Sent,150000,57,2023-07-21
411,1733,1995,532,2024-05-09,Keterlambatan pengiriman,Refund Processed,250000,34,2024-05-21
412,8332,1283,43,2023-07-28,Diterima dalam kondisi tidak baik,Refund Processed,400000,5,2023-08-03
413,1555,678,61,2023-08-10,Ukuran tidak sesuai,Rejected,100000,6,2023-08-12
414,9713,1094,433,2025-07-21,Ukuran tidak sesuai,Refund Processed,300000,15,2025-08-01
415,1357,2374,151,2023-12-22,Tidak sesuai ekspektasi,Refund Processed,75000,25,2023-12-31
416,3375,1872,497,2024-08-11,Warna tidak sesuai deskripsi,Pending Review,250000,47,2024-08-23
417,6297,450,157,2025-08-14,Ukuran tidak sesuai,Refund Processed,100000,57,2025-08-25
418,2946,162,310,2024-06-27,Diterima dalam kondisi tidak baik,Approved,300000,36,2024-07-08
419,6862,1602,227,2025-12-27,Produk rusak / cacat,Approved,500000,22,2026-01-04
420,7786,2402,279,2024-04-05,Tidak sesuai ekspektasi,Refund Processed,400000,67,2024-04-09
421,2304,2222,334,2024-06-02,Produk tidak berfungsi,Pending Review,750000,26,2024-06-13
422,88,117,2,2025-02-12,Salah order,Pending Review,200000,75,2025-02-21
423,2664,153,49,2023-10-26,Ukuran tidak sesuai,Exchange Sent,500000,60,2023-11-02
424,1415,2389,500,2026-07-06,Produk rusak / cacat,Refund Processed,200000,48,2026-07-10
425,5424,2281,25,2026-04-27,Tidak sesuai ekspektasi,Approved,750000,74,2026-05-05
426,530,1112,132,2026-08-16,Ukuran tidak sesuai,Approved,500000,47,2026-08-30
427,1610,1823,12,2023-06-15,Customer tidak jadi beli,Pending Review,400000,22,2023-06-22
428,2399,667,302,2025-03-02,Tidak sesuai ekspektasi,Refund Processed,400000,72,2025-03-04
429,3590,97,417,2025-04-09,Customer tidak jadi beli,Approved,1500000,60,2025-04-22
430,7498,1773,310,2023-12-14,Customer tidak jadi beli,Approved,75000,70,2023-12-19
431,7049,547,170,2024-04-13,Keterlambatan pengiriman,Pending Review,200000,66,2024-04-20
432,3291,362,59,2026-05-25,Pesanan salah kirim,Rejected,750000,44,2026-05-29
433,6631,2337,358,2023-06-27,Customer tidak jadi beli,Refund Processed,100000,49,2023-07-01
434,977,2038,290,2026-08-29,Salah order,Approved,250000,19,2026-08-31
435,924,399,133,2023-08-06,Produk rusak / cacat,Refund Processed,150000,49,2023-08-07
436,2486,512,537,2024-05-20,Warna tidak sesuai deskripsi,Pending Review,75000,10,2024-05-26
437,1875,1047,286,2025-06-30,Produk tidak berfungsi,Exchange Sent,100000,41,2025-07-14
438,7559,1321,11,2023-09-20,Produk tidak berfungsi,Refund Processed,200000,15,2023-09-23
439,1480,2400,501,2025-09-20,Ukuran tidak sesuai,Refund Processed,300000,19,2025-09-23
440,2201,2056,143,2025-02-03,Diterima dalam kondisi tidak baik,Pending Review,75000,26,2025-02-08
441,675,909,510,2025-10-10,Produk rusak / cacat,Refund Processed,750000,68,2025-10-20
442,5881,1223,472,2023-02-13,Ukuran tidak sesuai,Approved,300000,46,2023-02-22
443,7201,234,208,2023-02-25,Keterlambatan pengiriman,Approved,150000,21,2023-03-07
444,3381,1262,501,2023-05-17,Warna tidak sesuai deskripsi,Refund Processed,750000,8,2023-05-22
445,3919,132,496,2026-06-07,Tidak sesuai ekspektasi,Approved,500000,42,2026-06-08
446,3853,2438,166,2023-12-26,Diterima dalam kondisi tidak baik,Refund Processed,1500000,77,2023-12-29
447,7067,1250,298,2023-12-16,Ukuran tidak sesuai,Approved,1500000,31,2023-12-23
448,5595,1911,306,2023-06-20,Warna tidak sesuai deskripsi,Approved,400000,27,2023-06-26
449,2344,1863,129,2026-03-25,Customer tidak jadi beli,Approved,150000,58,2026-04-07
450,1465,918,84,2025-04-12,Ukuran tidak sesuai,Rejected,250000,77,2025-04-22
451,157,1431,186,2023-03-23,Produk tidak berfungsi,Approved,750000,32,2023-03-26
452,4779,58,315,2024-08-25,Keterlambatan pengiriman,Refund Processed,75000,7,2024-09-01
453,5364,2465,111,2025-04-06,Keterlambatan pengiriman,Refund Processed,100000,46,2025-04-19
454,6566,940,299,2026-03-13,Salah order,Exchange Sent,300000,26,2026-03-22
455,5662,1303,148,2025-09-01,Ukuran tidak sesuai,Approved,1500000,27,2025-09-10
456,3751,1879,149,2024-10-04,Produk rusak / cacat,Approved,250000,42,2024-10-17
457,998,299,164,2025-07-10,Keterlambatan pengiriman,Approved,750000,35,2025-07-19
458,950,468,466,2024-11-08,Salah order,Approved,400000,64,2024-11-22
459,9014,1736,192,2024-11-14,Salah order,Approved,500000,76,2024-11-25
460,1059,533,390,2024-04-17,Ukuran tidak sesuai,Approved,300000,27,2024-04-26
461,1808,1968,72,2025-08-19,Ukuran tidak sesuai,Approved,400000,24,2025-08-20
462,4091,651,416,2025-08-26,Pesanan salah kirim,Refund Processed,750000,77,2025-09-05
463,4720,748,134,2024-03-10,Salah order,Pending Review,100000,48,2024-03-13
464,3842,1845,511,2026-03-26,Ukuran tidak sesuai,Approved,100000,71,2026-03-28
465,2050,2492,113,2025-01-09,Keterlambatan pengiriman,Pending Review,750000,49,2025-01-18
466,9132,1359,82,2025-06-06,Customer tidak jadi beli,Refund Processed,50000,63,2025-06-14
467,14,416,11,2025-07-11,Tidak sesuai ekspektasi,Pending Review,100000,44,2025-07-23
468,9908,2018,520,2024-05-01,Salah order,Approved,500000,63,2024-05-15
469,8899,183,311,2024-07-26,Tidak sesuai ekspektasi,Approved,300000,6,2024-08-05
470,4314,1631,304,2025-12-09,Customer tidak jadi beli,Refund Processed,200000,47,2025-12-17
471,6896,1781,58,2024-10-26,Customer tidak jadi beli,Exchange Sent,500000,33,2024-11-05
472,9097,1254,520,2023-09-02,Customer tidak jadi beli,Approved,75000,4,2023-09-12
473,6026,837,295,2024-05-30,Pesanan salah kirim,Refund Processed,100000,6,2024-06-12
474,6073,1855,429,2025-02-25,Salah order,Exchange Sent,1500000,36,2025-03-06
475,2135,1240,72,2025-12-22,Warna tidak sesuai deskripsi,Approved,400000,66,2026-01-05
476,6830,1439,347,2024-05-15,Produk rusak / cacat,Approved,500000,66,2024-05-25
477,545,85,522,2023-09-11,Ukuran tidak sesuai,Pending Review,200000,67,2023-09-21
478,9874,1409,279,2023-10-05,Pesanan salah kirim,Rejected,1000000,9,2023-10-10
479,4741,1480,310,2023-04-17,Warna tidak sesuai deskripsi,Approved,100000,50,2023-04-30
480,5733,144,535,2025-02-07,Produk rusak / cacat,Refund Processed,50000,56,2025-02-09
481,5136,201,355,2025-02-02,Warna tidak sesuai deskripsi,Pending Review,400000,37,2025-02-03
482,54,2220,425,2026-08-25,Customer tidak jadi beli,Exchange Sent,300000,44,2026-09-02
483,5744,2421,380,2024-03-07,Produk rusak / cacat,Pending Review,1000000,24,2024-03-18
484,8297,2311,96,2026-08-28,Produk rusak / cacat,Pending Review,100000,32,2026-08-31
485,48,1059,54,2024-02-10,Ukuran tidak sesuai,Pending Review,1000000,72,2024-02-15
486,4820,1016,27,2023-10-31,Produk rusak / cacat,Refund Processed,50000,72,2023-11-13
487,1309,2013,352,2023-10-03,Diterima dalam kondisi tidak baik,Approved,500000,3,2023-10-16
488,6202,1924,543,2023-07-27,Tidak sesuai ekspektasi,Pending Review,750000,60,2023-08-05
489,3010,1553,363,2023-11-07,Tidak sesuai ekspektasi,Refund Processed,500000,38,2023-11-17
490,9995,2121,365,2026-08-27,Warna tidak sesuai deskripsi,Approved,750000,49,2026-09-01
491,5336,483,518,2025-07-29,Diterima dalam kondisi tidak baik,Refund Processed,1500000,72,2025-08-07
492,7287,580,410,2025-12-26,Customer tidak jadi beli,Approved,300000,27,2026-01-05
493,1715,1873,311,2024-01-06,Customer tidak jadi beli,Rejected,50000,47,2024-01-17
494,9771,1150,476,2026-06-06,Produk tidak berfungsi,Approved,200000,19,2026-06-20
495,8750,471,119,2023-02-17,Pesanan salah kirim,Refund Processed,750000,18,2023-03-02
496,3256,198,383,2023-03-20,Warna tidak sesuai deskripsi,Exchange Sent,75000,68,2023-04-02
497,6539,1053,191,2025-07-06,Produk rusak / cacat,Approved,250000,24,2025-07-19
498,1157,2308,122,2025-02-04,Salah order,Refund Processed,400000,64,2025-02-12
499,3141,643,354,2024-07-20,Produk rusak / cacat,Approved,1500000,44,2024-08-01
500,3365,1044,370,2023-02-05,Warna tidak sesuai deskripsi,Approved,400000,42,2023-02-18
501,5870,2305,181,2025-09-28,Tidak sesuai ekspektasi,Approved,150000,31,2025-09-30
502,7003,2109,271,2023-11-10,Ukuran tidak sesuai,Rejected,400000,37,2023-11-12
503,7879,335,449,2024-10-11,Produk tidak berfungsi,Approved,400000,1,2024-10-25
504,4642,2253,369,2025-06-24,Warna tidak sesuai deskripsi,Approved,750000,42,2025-07-02
505,9058,231,532,2023-08-23,Tidak sesuai ekspektasi,Pending Review,75000,57,2023-09-06
506,8924,1258,15,2025-10-01,Produk rusak / cacat,Approved,150000,55,2025-10-03
507,2677,1571,254,2024-04-10,Tidak sesuai ekspektasi,Refund Processed,1000000,35,2024-04-21
508,6346,418,344,2023-03-12,Ukuran tidak sesuai,Approved,75000,21,2023-03-15
509,438,1136,206,2026-03-27,Diterima dalam kondisi tidak baik,Pending Review,750000,48,2026-04-09
510,4266,757,151,2024-01-09,Warna tidak sesuai deskripsi,Approved,1500000,68,2024-01-22
511,510,1540,368,2025-11-30,Produk rusak / cacat,Rejected,750000,25,2025-12-04
512,2644,2174,487,2026-05-08,Keterlambatan pengiriman,Approved,50000,5,2026-05-15
513,3157,1050,389,2023-11-15,Tidak sesuai ekspektasi,Rejected,250000,32,2023-11-21
514,5989,967,190,2023-10-25,Produk rusak / cacat,Rejected,100000,28,2023-10-28
515,3015,341,486,2026-07-03,Customer tidak jadi beli,Refund Processed,750000,10,2026-07-16
516,1652,877,45,2024-07-15,Warna tidak sesuai deskripsi,Pending Review,500000,17,2024-07-18
517,2235,1709,224,2025-06-06,Keterlambatan pengiriman,Approved,1000000,15,2025-06-07
518,1662,773,202,2026-08-03,Warna tidak sesuai deskripsi,Rejected,300000,68,2026-08-13
519,4432,1167,211,2023-11-15,Produk tidak berfungsi,Refund Processed,250000,47,2023-11-21
520,1987,1788,418,2023-09-05,Salah order,Exchange Sent,50000,21,2023-09-13
521,1206,83,85,2023-03-24,Ukuran tidak sesuai,Pending Review,400000,44,2023-03-31
522,5917,1298,252,2026-07-23,Tidak sesuai ekspektasi,Exchange Sent,100000,29,2026-07-28
523,931,592,346,2023-08-05,Ukuran tidak sesuai,Approved,1500000,34,2023-08-07
524,4176,2372,377,2023-03-06,Warna tidak sesuai deskripsi,Approved,300000,51,2023-03-08
525,5918,2326,347,2023-03-15,Produk rusak / cacat,Pending Review,400000,62,2023-03-21
526,2132,989,211,2023-05-29,Ukuran tidak sesuai,Approved,1500000,33,2023-06-09
527,4130,1616,437,2024-12-23,Customer tidak jadi beli,Approved,750000,64,2024-12-26
528,6730,486,368,2026-04-30,Pesanan salah kirim,Refund Processed,250000,69,2026-05-02
529,4260,1199,348,2025-02-13,Salah order,Refund Processed,300000,65,2025-02-19
530,8511,1867,537,2024-12-04,Produk rusak / cacat,Approved,400000,2,2024-12-16
531,9073,963,531,2025-06-14,Pesanan salah kirim,Refund Processed,1000000,55,2025-06-26
532,1956,486,15,2024-09-18,Pesanan salah kirim,Pending Review,100000,41,2024-10-02
533,1982,1704,318,2025-04-21,Produk rusak / cacat,Exchange Sent,500000,36,2025-04-28
534,5404,848,60,2025-04-05,Ukuran tidak sesuai,Approved,50000,5,2025-04-13
535,4701,1054,279,2024-06-05,Pesanan salah kirim,Approved,500000,48,2024-06-12
536,5054,1482,482,2026-08-21,Diterima dalam kondisi tidak baik,Approved,150000,36,2026-08-29
537,1534,1175,344,2026-07-16,Salah order,Rejected,500000,39,2026-07-20
538,1856,967,491,2024-03-15,Pesanan salah kirim,Approved,1500000,39,2024-03-22
539,1654,27,80,2023-02-18,Customer tidak jadi beli,Rejected,250000,20,2023-02-21
540,7225,1356,367,2026-05-19,Ukuran tidak sesuai,Rejected,1500000,64,2026-05-26
541,6362,1586,404,2026-08-28,Customer tidak jadi beli,Rejected,75000,54,2026-09-03
542,5879,302,246,2024-01-28,Produk rusak / cacat,Rejected,400000,5,2024-02-05
543,2954,240,478,2025-11-17,Salah order,Approved,250000,4,2025-11-25
544,2168,630,426,2025-12-08,Ukuran tidak sesuai,Rejected,75000,27,2025-12-19
545,6348,1134,342,2023-12-05,Pesanan salah kirim,Approved,50000,44,2023-12-19
546,6806,819,464,2026-01-31,Diterima dalam kondisi tidak baik,Refund Processed,750000,5,2026-02-03
547,3436,1990,306,2024-07-10,Tidak sesuai ekspektasi,Refund Processed,400000,56,2024-07-18
548,3932,2384,11,2026-06-26,Tidak sesuai ekspektasi,Approved,150000,16,2026-07-05
549,71,1004,214,2024-04-25,Produk rusak / cacat,Pending Review,300000,29,2024-05-03
550,6836,2139,437,2025-07-12,Ukuran tidak sesuai,Approved,200000,10,2025-07-21
551,2125,1608,387,2026-02-20,Tidak sesuai ekspektasi,Approved,75000,72,2026-03-04
552,1374,613,354,2023-10-17,Salah order,Rejected,500000,40,2023-10-22
553,2862,924,402,2026-08-06,Diterima dalam kondisi tidak baik,Exchange Sent,200000,40,2026-08-09
554,8784,1533,85,2025-10-31,Warna tidak sesuai deskripsi,Pending Review,400000,53,2025-11-02
555,4370,198,160,2024-09-06,Produk tidak berfungsi,Pending Review,150000,70,2024-09-17
556,6903,956,72,2025-05-16,Ukuran tidak sesuai,Refund Processed,75000,30,2025-05-27
557,2755,600,336,2023-10-11,Produk tidak berfungsi,Refund Processed,300000,17,2023-10-20
558,5007,1055,378,2025-02-16,Customer tidak jadi beli,Approved,150000,49,2025-03-02
559,1064,904,327,2023-05-23,Pesanan salah kirim,Pending Review,1000000,6,2023-06-02
560,391,1325,194,2023-12-13,Ukuran tidak sesuai,Rejected,1000000,17,2023-12-18
561,2000,2147,141,2024-03-31,Salah order,Approved,100000,4,2024-04-12
562,9322,29,399,2026-08-16,Tidak sesuai ekspektasi,Exchange Sent,300000,30,2026-08-20
563,6451,2031,321,2023-06-11,Produk tidak berfungsi,Approved,100000,66,2023-06-12
564,4361,114,370,2025-09-20,Ukuran tidak sesuai,Pending Review,150000,11,2025-10-03
565,9314,1057,546,2024-06-22,Diterima dalam kondisi tidak baik,Approved,150000,1,2024-07-02
566,878,1857,457,2023-10-30,Ukuran tidak sesuai,Exchange Sent,75000,1,2023-10-31
567,8907,2226,264,2023-03-31,Salah order,Pending Review,150000,44,2023-04-05
568,3081,1747,527,2025-11-22,Pesanan salah kirim,Refund Processed,500000,22,2025-11-25
569,5085,1913,160,2024-08-19,Customer tidak jadi beli,Refund Processed,400000,27,2024-09-01
570,5103,2312,278,2025-08-29,Produk rusak / cacat,Refund Processed,750000,32,2025-09-01
571,9789,980,231,2026-02-25,Tidak sesuai ekspektasi,Pending Review,500000,59,2026-03-02
572,8969,1785,8,2026-01-29,Produk rusak / cacat,Approved,1000000,60,2026-02-02
573,5542,1484,282,2024-09-29,Warna tidak sesuai deskripsi,Exchange Sent,750000,1,2024-10-11
574,372,510,99,2024-03-30,Ukuran tidak sesuai,Approved,750000,72,2024-04-02
575,2381,714,26,2024-01-13,Ukuran tidak sesuai,Approved,100000,30,2024-01-27
576,5049,872,491,2025-08-05,Diterima dalam kondisi tidak baik,Refund Processed,75000,1,2025-08-19
577,4668,2178,62,2024-12-01,Diterima dalam kondisi tidak baik,Approved,200000,48,2024-12-11
578,3277,1917,341,2025-12-12,Warna tidak sesuai deskripsi,Approved,100000,34,2025-12-26
579,6996,1911,76,2025-04-18,Customer tidak jadi beli,Refund Processed,500000,59,2025-04-20
580,3473,276,195,2026-05-25,Diterima dalam kondisi tidak baik,Approved,750000,72,2026-06-06
581,8151,2335,139,2025-12-10,Customer tidak jadi beli,Refund Processed,75000,67,2025-12-15
582,737,2000,88,2026-05-14,Salah order,Refund Processed,150000,40,2026-05-18
583,6926,264,18,2024-02-06,Keterlambatan pengiriman,Approved,1500000,3,2024-02-08
584,1076,2148,261,2023-02-07,Tidak sesuai ekspektasi,Approved,300000,43,2023-02-20
585,2523,1314,268,2023-07-06,Tidak sesuai ekspektasi,Approved,150000,57,2023-07-07
586,776,630,219,2026-04-18,Salah order,Pending Review,300000,47,2026-04-28
587,9010,1631,437,2023-02-03,Salah order,Approved,300000,20,2023-02-17
588,3644,2477,285,2023-02-02,Produk rusak / cacat,Refund Processed,1000000,62,2023-02-10
589,1028,1342,365,2024-10-27,Diterima dalam kondisi tidak baik,Refund Processed,400000,63,2024-11-09
590,7357,2055,332,2024-08-27,Produk tidak berfungsi,Approved,150000,6,2024-09-07
591,9475,2352,189,2026-07-21,Diterima dalam kondisi tidak baik,Refund Processed,250000,74,2026-07-31
592,3111,189,481,2025-12-07,Produk rusak / cacat,Approved,200000,41,2025-12-13
593,9329,494,503,2025-12-05,Diterima dalam kondisi tidak baik,Approved,1500000,69,2025-12-10
594,7112,2346,204,2024-01-01,Warna tidak sesuai deskripsi,Exchange Sent,750000,33,2024-01-13
595,8763,2102,249,2025-05-30,Ukuran tidak sesuai,Approved,750000,43,2025-06-05
